,CORD,#,MFG,,,MFG. DATE,PROD,ACTUAL,PROD,END,Backup,Preload,END,FINAL,DATE,,
,SERIAL #,WRAPS,BY,LOT#,BOX#,,LENGTH,LENGTH,LOAD,LOAD,Length (ft),Length (ft),LENGTH,LENGTH,MFG,,
,6449,ES 75 lbs,RW,173069,18,22-Mar,31.5,"29'5""",2090,1800,100',106',"33'3""","31'6""",22-Jul,,
,6450,ES 75 lbs,RW,173069,4,22-Mar,31.5,"29'5""",2050,1820,100',106',"33'4""","31'5""",22-Jul,,
,6451,4834,RW,173069,16,22-Mar,48',48',960,830,192,206,"56'1""",,22-Aug,,
,6452,4834,RW,173069,17,22-Mar,48',48',990,840,192,206,"56'6""",,22-Aug,,
,6453,2822,RW,173069,16,22-Mar,28',28',620,520,112',122',32',"30'3""",22-Aug,,
,6454,2828,RW,173069,16 17,22-Mar,28',28',780,655,112',122',"32'3""","30'4""",22-Aug,,
,6455,4828,RW,173069,5,22-Mar,48',48',800,670,192,206,"55'7""",,22-Aug,,
,6456,4822,RW,173069,27,22-Mar,48',48',650,520,192,206,"55'8""",,22-Oct,,
,6457,4828,RW,173069,27 24,22-Mar,48',48',820,670,192,206,56',,22-Oct,,
,6458,4834,RW,173069,24,22-Mar,48',48',1000,800,192,206,"55'4""",,22-Oct,,
,6459,2922,RW,173069,6,22-Mar,29',29',620,490,116,124,"33'5""","31'4""",22-Oct,,
,6460,2928,RW,173069,6,22-Mar,29',29',790,655,116,124,"32'11""","31'2""",22-Oct,,
,6461,2816,RW,173069,3,22-Mar,28',28',460,380,112,118,"32'4""","30'3""",22-Oct,,
,6462,2822,RW,173069,3,22-Mar,28',28',635,510,112,118,"32'3""","30'1""",22-Oct,,
,6463,2828,RW,173069,5,22-Mar,28',28',810,650,112,118,"32'6""","30'5""",22-Oct,,
,6464,2828,RW,173069,3,22-Mar,28',28',800,650,112,118,"32'6""","30'6""",22-Oct,,
,6465,2834,RW,173069,6,22-Mar,28',28',990,790,112,118,"32'2""","30'3""",22-Oct,,
,6466,2030,RW,173069,3,22-Mar,20',20',560,460,57,86,"22'8""","21'2""",N0v 22,,
83,6467,2042,RW,173069,53,22-Mar,20',20',790,650,57,86,"23'1""","21'4""",N0v 22,,
2023,6468,2922,RW,173069,53,22-Mar,29',29',690,510,116,124,34',32'3,23-Feb,,
1000,6469,2928,RW,173069,53,22-Mar,29',29',870,660,116,124,34',"31'11""",23-Feb,,
in,6470,3022,RW,173069,56,22-Mar,30',30',650,500,120,129,"35'6""","32'5""",23-Feb,,
12,6471,3028,RW,173069,54 53,22-Mar,30',30',845,650,120,129,36',"32'9""",23-Feb,,
Years,6472,3028,RW,173069,54,22-Mar,30',30',825,650,120,129,"35'9""","32'11""",23-Feb,,
,6473,3034,RW,173069,54,22-Mar,30',30',980,780,120,129,"35'9""","32'10""",23-Feb,,
,6474,2922,RW,173069,32,22-Mar,29',29',655,500,116,124,"34'9""","32'6""",23-Feb,,
,6475,2928,RW,173069,32,22-Mar,29',29',830,645,116,124,35',"32'8""",23-Feb,,
,6476,2030,RW,173069,2,22-Mar,20',20',620,480,57,86,"22'11""","21'6""",23-Feb,,
,6477,2030,RW,173069,32 2,22-Mar,20',20',645,500,57,86,23',"21'7""",23-Feb,,
,6478,5522,RW,173069,07-Jan,22-Mar,55',55',630,520,220,240,"65'5""",-,23-Apr,,
,6479,5528,RW,173069,1,22-Mar,55',55',800,655,220,240,"65'5""",-,23-Apr,,
,6480,5534,RW,173069,2,22-Mar,55',55',1000,830,220,240,"65'6""",-,23-Apr,,
,6481,1216,RW,173069,7,22-Mar,12,12,450,350,48,55,"14'5""",-,23-Apr,,
