Date,Brk,Hour,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Additional Factors,JM,JA,Cord Serial Number,Breaks
,B,,98,26,D0,AF,0,,,,6344 4816,
,B,15,104,24,W0,AF,0,SPINS,ZG,EB,6344 4816,
,B,15,104,25,-4,AF,0,,,,6344 4816,
,,16,117,13,1,AF,2,CHARLIE,,,6344 4816,
,,16,111,16,W0,AF,0,,,,6344 4816,
,,17,112,19,2,AF,0,,,,6344 4816,
,B,17,104,12,,AF,0,,,,6344 4816,
7/24/2025,F,13,105,30,-3,AF,0,,TL,JA,6344 4816,
7/26/2025,F,14,109,24,-3,AF,0,,MS,MAS,6344 4816,
,,,103,12,,AF,,,,,6344 4816,
,B,,107,23,W0,AF,3,,MS,CB,6344 4816,
,,19,92,12,,AF,,,,,6344 4816,
,B,21,111,15,,AF,,,KS,NB,6344 4816,
7/27/2025,F,,117,6,,AF,,,RD,ZG,6344 4816,2
,,,109,2,,AF,,,,,6344 4816,
,,11,112,6,,AF,,,,,6344 4816,
,,11,102,6,,AF,,,,,6344 4816,
,B,14,96,26,1,AF,0,,ZG,MAS,6344 4816,
,B,20,113,21,-3,AF,0,,MS,EB,6344 4816,
7/29/2025,F,13,109,22,,AF,,,,,6344 4816,
7/30/2025,F,,109,12,,AF,,DEADMAN,ZG,NB,6344 4816,
,B,,126,12,,BF,,,,,6344 4816,
,,12,109,12,,AF,,,,,6344 4816,
8/2/2025,F,9,108,22,D0,AF,0,,ZG,ZS,6344 4816,
8/3/2025,F,8,139,6,,BF,,,MS,RD,6344 4816,
,B,14,123,16,-5,AF,0,,MS,MAS,6344 4816,
,B,,117,6,,AF,,,ZG,MAS,6344 4816,
,,,136,6,-2,AF,0,,,,6344 4816,
,,,135,4,W0,AF,0,,,,6344 4816,
,B,,101,,,,,,,,6344 4816,
,B,,110,22,,AF,,,,,6344 4816,
8/4/2025,F,,109,6,,AF,,,ZG,JA,6344 4816,
,B,,114,21,-3,AF,,,,,6344 4816,
8/5/2025,F,,110,22,W0,AF,0,,ZG,MAS,6344 4816,
8/6/2025,F,13,94,27,4,AF,0,,TL,EB,6344 4816,
,B,14,109,23,-3,AF,0,,,,6344 4816,
,,14,93,25,2,AF,0,,,,6344 4816,
,B,15,112,21,-3,AF,0,,,,6344 4816,
,,15,112,18,D0,AF,2,,,,6344 4816,
,B,16,101,32,-3,BF,0,,MS,TL,6344 4816,
8/9/2025,F,17,100,18,,AF,,,MS,NB,6344 4816,
8/11/2025,F,,124,12,,AF,,,ZG,NB,6344 4816,
,B,,116,20,,AF,,,,,6344 4816,
,B,16,104,24,D0,AF,0,,ZG,JA,6344 4816,
8/13/2025,F,1,93,6,,AF,,,MS,JL,6344 4816,
8/14/2025,F,12,101,3,,AF,0,,JL,RD,6344 4816,
8/15/2025,F,14,105,24,1,AF,0,,,,6344 4816,
8/16/2025,F,17,123,20,-1,BF,0,,MS,MAS,6344 4816,
8/17/2025,F,,110,24,1,AF,1,,OAS,TL,6344 4816,
,B,,100,27,2,AF,0,,TL,MAS,6344 4816,
8/18/2025,F,19,100,18,,AF,,,ZG,NB,6344 4816,
8/22/2025,F,10,94,30,4,AF,2,,JC,EB,6344 4816,
,B,11,106,27,-2,AF,0,,,,6344 4816,
,B,12,91,24,,AF,,,,,6344 4816,
,B,15,114,8,,BF,,,,,6344 4816,
,,15,110,6,,BF,,,,,6344 4816,
,,15,105,6,,AF,,,,,6344 4816,
