Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number
8/6/2025,,112,18.0,D0,AF,2,63444816
8/6/2025,B,101,32.0,-3,BF,0,63444816
8/9/2025,F,100,18.0,,AF,,63444816
8/11/2025,F,124,12.0,,AF,,63444816
8/11/2025,B,116,20.0,,AF,,63444816
8/11/2025,B,104,24.0,D0,AF,0,63444816
8/13/2025,F,93,6.0,,AF,,63444816
8/14/2025,F,101,3.0,,AF,0,63444816
8/15/2025,F,105,24.0,1,AF,0,63444816
8/16/2025,F,123,20.0,-1,BF,0,63444816
8/17/2025,F,110,24.0,1,AF,1,63444816
8/17/2025,B,100,27.0,2,AF,0,63444816
8/18/2025,F,100,18.0,,AF,,63444816
8/22/2025,F,94,30.0,4,AF,2,63444816
8/22/2025,B,106,27.0,-2,AF,0,63444816
8/22/2025,B,91,24.0,,AF,,63444816
8/22/2025,B,114,8.0,,BF,,63444816
8/22/2025,,110,6.0,,BF,,63444816
8/22/2025,,105,6.0,,AF,,63444816
8/22/2025,B,98,30.0,2,AF,1,63444816
8/23/2025,F,100,6.0,,AF,,63444816
8/23/2025,B,102,6.0,,AF,,63444816
8/24/2025,F,91,24.0,,BF,,63444816
8/24/2025,B,103,18.0,,BF,,63444816
8/24/2025,,105,29.0,-1,BF,0,63444816
8/24/2025,,100,32.0,-3,BF,0,63444816
8/24/2025,,94,6.0,,AF,,63444816
8/24/2025,,90,30.0,,AF,0,63444816
8/24/2025,B,106,24.0,-3,AF,0,63444816
8/24/2025,B,111,22.0,-2,AF,0,63444816
8/24/2025,,104,22.0,W0,AF,0,63444816
8/24/2025,,100,31.0,-1,BF,0,63444816
8/24/2025,,109,20.0,-4,AF,0,63444816
8/24/2025,B,116,21.0,4,AF,0,63444816
8/24/2025,,109,,-1,AF,0,63444816
8/25/2025,F,103,24.0,5,AF,1,63444816
8/25/2025,B,121,25.0,-5,BF,0,63444816
8/25/2025,,130,12.0,3,BF,2,63444816
8/25/2025,B,96,6.0,,AF,,63444816
9/1/2025,F,97,6.0,,AF,,63444816
9/1/2025,B,104,21.0,3,,3,63444816
9/8/2025,F,92,6.0,,AF,,63444816
9/8/2025,,104,20.0,2,AB,0,63444816
9/8/2025,,98,25.0,2,AF,0,63444816
9/8/2025,,103,12.0,,AF,,63444816
