Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number
5/3/2025,,140,12.0,,AF,,65524822
5/3/2025,B,135,18.0,,AF,,65524822
5/3/2025,,117,18.0,,AF,,65524822
5/3/2025,,125,6.0,,AF,,65524822
5/3/2025,B,158,6.0,,AF,,65524822
5/4/2025,F,161,21.0,1,AF,0.0,65524822
5/4/2025,,159,20.0,-3,AF,1.0,65524822
5/4/2025,,132,30.0,1,AF,0.0,65524822
5/4/2025,,125,12.0,,AF,,65524822
5/4/2025,,153,23.0,1,AF,4.0,65524822
5/4/2025,,153,24.0,,AF,0.0,65524822
5/4/2025,,140,12.0,,AF,,65524822
5/4/2025,,135,21.0,,BF,,65524822
5/4/2025,B,165,19.0,-3,AF,0.0,65524822
5/4/2025,,149,22.0,,BF,,65524822
5/4/2025,,156,21.0,-4,AF,0.0,65524822
5/4/2025,,168,6.0,,AF,,65524822
5/4/2025,,117,24.0,,AF,,65524822
5/4/2025,B,156,12.0,,AF,,65524822
5/4/2025,,141,12.0,,AF,,65524822
5/4/2025,,138,31.0,3,BF,0.0,65524822
5/4/2025,,137,15.0,,AF,,65524822
5/4/2025,,164,17.0,0,AF,1.0,65524822
5/4/2025,,135,21.0,,AF,,65524822
5/4/2025,,108,12.0,,AF,,65524822
5/4/2025,B,166,19.0,-1,AF,0.0,65524822
5/4/2025,B/2,126,12.0,,AF,,65524822
5/4/2025,B,145,6.0,,AF,,65524822
5/4/2025,,131,15.0,,AF,,65524822
5/5/2025,F,148,12.0,,AF,,65524822
5/5/2025,,138,12.0,,AF,,65524822
5/5/2025,,123,24.0,,AF,,65524822
5/5/2025,B/2,113,6.0,,AF,,65524822
5/5/2025,B,156,22.0,0,AF,1.0,65524822
5/5/2025,,148,24.0,2,AF,0.0,65524822
5/5/2025,,145,28.0,-4,AF,0.0,65524822
5/5/2025,,146,27.0,-3,AF,,65524822
5/5/2025,,136,30.0,-5,AF,0.0,65524822
5/5/2025,,104,6.0,,AF,,65524822
5/7/2025,F,132,35.0,0,AF,0.0,65524822
5/7/2025,,125,32.0,3,AF,2.0,65524822
5/7/2025,,127,33.0,1,AF,2.0,65524822
5/7/2025,B,157,23.0,3,AF,2.0,65524822
5/7/2025,,153,18.0,,AF,,65524822
5/7/2025,B,158,21.0,0,AF,0.0,65524822
5/7/2025,,159,17.0,3,AF,0.0,65524822
5/7/2025,,149,9.0,,,,65524822
5/7/2025,,129,34.0,-4,AF,0.0,65524822
5/7/2025,B,152,24.0,0,AF,0.0,65524822
5/7/2025,,147,24.0,-3,AF,0.0,65524822
5/7/2025,,129,21.0,,BF,,65524822
5/7/2025,,115,24.0,,AF,,65524822
5/7/2025,,134,16.0,,AF,,65524822
5/7/2025,,129,33.0,-5,AF,0.0,65524822
5/7/2025,B,156,9.0,,,,65524822
5/7/2025,B,147,,,BF,,65524822
5/7/2025,,144,25.0,4,AF,1.0,65524822
5/7/2025,,114,18.0,,AF,,65524822
5/7/2025,B,167,19.0,-2,AF,0.0,65524822
5/7/2025,,165,16.0,-2,AF,0.0,65524822
5/8/2025,F,148,12.0,,AF,,65524822
5/8/2025,,122,12.0,,AF,,65524822
5/8/2025,B/2,113,6.0,,AF,,65524822
5/8/2025,B ,158,22.0,D0,AF,1.0,65524822
5/8/2025,,148,24.0,2,AF,0.0,65524822
5/8/2025,,145,28.0,-4,AB,0.0,65524822
5/8/2025,,146,27.0,-3,AF,0.0,65524822
5/8/2025,,136,30.0,-5,AF,0.0,65524822
5/8/2025,,114,6.0,,AF,,65524822
5/9/2025,F,160,6.0,,BF,,65524822
5/9/2025,,157,22.0,0,AF,2.0,65524822
5/9/2025,,116,33.0,6,AF,0.0,65524822
5/9/2025,B,157,6.0,,BF,,65524822
5/9/2025,B,158,6.0,,BF,,65524822
5/9/2025,B,165,18.0,3,AF,2.0,65524822
5/9/2025,,149,24.0,3,AF,5.0,65524822
5/9/2025,,126,23.0,0,AF,0.0,65524822
5/9/2025,B,165,6.0,,AF,,65524822
5/9/2025,,163,10.0,-2,AF,0.0,65524822
5/9/2025,,131,24.0,,BF,,65524822
5/10/2025,F,138,33.0,-3,AF,1.0,65524822
5/10/2025,B,154,6.0,,AF,,65524822
5/10/2025,,141,15.0,,AF,,65524822
5/10/2025,,114,27.0,,AF,,65524822
5/10/2025,B,151,26.0,1,AF,3.0,65524822
5/10/2025,,159,26.0,6,AF,0.0,65524822
5/10/2025,B,160,20.0,0,AF,0.0,65524822
5/10/2025,,149,15.0,,AF,,65524822
5/10/2025,B/2,136,30.0,1,AF,0.0,65524822
5/10/2025,,135,32.0,-3,AF,0.0,65524822
5/10/2025,B,165,21.0,-4,AF,0.0,65524822
5/10/2025,,123,21.0,,AF,,65524822
5/10/2025,,137,30.0,-2,AF,0.0,65524822
5/11/2025,F,159,22.0,5,AF,0.0,65524822
5/11/2025,,151,21.0,2,AF,0.0,65524822
5/11/2025,,125,18.0,,BF,,65524822
5/11/2025,B,152,27.0,,AF,,65524822
5/11/2025,,136,12.0,,AF,,65524822
5/11/2025,B,152,27.0,,AF,,65524822
5/11/2025,B,158,22.0,2,AF,3.0,65524822
5/11/2025,,159,12.0,,AF,,65524822
5/11/2025,,159,21.0,-3,AF,0.0,65524822
5/11/2025,,155,21.0,-2,AF,0.0,65524822
5/11/2025,,156,12.0,,AF,,65524822
5/11/2025,,141,30.0,-5,AF,1.0,65524822
5/11/2025,,125,21.0,,AF,,65524822
5/12/2025,B,169,18.0,-1,AF,1.0,65524822
5/12/2025,,156,21.0,-1,AF,0.0,65524822
5/12/2025,,144,25.0,-1,AF,1.0,65524822
5/12/2025,,144,26.0,1,AF,3.0,65524822
5/12/2025,,135,6.0,,AF,,65524822
5/12/2025,,134,30.0,3,AF,0.0,65524822
5/12/2025,,129,34.0,-3,AF,1.0,65524822
5/12/2025,,131,31.0,-2,AF,1.0,65524822
5/12/2025,B,166,19.0,1,AF,2.0,65524822
5/12/2025,,161,19.0,0,AF,0.0,65524822
5/12/2025,,141,27.0,1,AF,0.0,65524822
5/12/2025,,163,19.0,-3,AF,1.0,65524822
5/15/2025,F,155,24.0,2,AF,3.0,65524822
5/15/2025,,153,22.0,2,AF,4.0,65524822
5/15/2025,,131,6.0,,AF,,65524822
5/15/2025,B,164,20.0,-1,AF,0.0,65524822
5/15/2025,,152,22.0,-1,AF,0.0,65524822
5/15/2025,,150,23.0,-1,AF,1.0,65524822
5/15/2025,,149,6.0,,AF,,65524822
5/15/2025,,142,27.0,-3,AF,0.0,65524822
5/16/2025,F,149,27.0,-5,AF,0.0,65524822
