Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number
5/10/2025,B,200.0,19.0,-5,AF,1,65934828
5/10/2025,,200.0,6.0,,AF,,65934828
5/10/2025,,200.0,15.0,-3,AF,0,65934828
5/10/2025,,192.0,9.0,,AF,,65934828
5/10/2025,,179.0,12.0,,BF,,65934828
5/10/2025,,172.0,15.0,,BF,,65934828
5/10/2025,,172.0,27.0,-5,AF,1,65934828
5/10/2025,,155.0,21.0,,BF,,65934828
5/10/2025,,191.0,18.0,-5,AF,1,65934828
5/10/2025,B,202.0,17.0,-5,AF,0,65934828
5/10/2025,,184.0,6.0,,BF,,65934828
5/10/2025,,169.0,21.0,,BF,,65934828
5/10/2025,B,191.0,18.0,,BF,,65934828
5/11/2025,F,182.0,15.0,,BF,,65934828
5/11/2025,,172.0,15.0,,AF,,65934828
5/11/2025,,158.0,21.0,,AF,,65934828
5/11/2025,B ,197.0,18.0,-3,AF,0,65934828
5/11/2025,,176.0,12.0,,BF,,65934828
5/11/2025,,172.0,33.0,1,BF,5,65934828
5/11/2025,B,218.0,5.0,,AF,,65934828
5/11/2025,,189.0,16.0,D0,AF,0,65934828
5/11/2025,,189.0,18.0,D0,AF,0,65934828
5/11/2025,,185.0,19.0,-3,AF,0,65934828
5/11/2025,,181.0,20.0,2,AF,2,65934828
5/11/2025,,155.0,21.0,,BF,,65934828
5/11/2025,B,190.0,12.0,,AF,,65934828
5/11/2025,B,197.0,12.0,,BF,,65934828
5/11/2025,B,214.0,10.0,-3,AF,0,65934828
5/11/2025,,216.0,5.0,3,AF,0,65934828
5/11/2025,,203.0,10.0,3,AF,2,65934828
5/11/2025,,200.0,6.0,,AF,,65934828
5/11/2025,B/2,177.0,24.0,-4,AF,0,65934828
5/11/2025,,168.0,22.0,3,AF,0,65934828
5/12/2025,F,210.0,10.0,3,AF,4,65934828
5/12/2025,,186.0,6.0,,BF,,65934828
5/12/2025,B,197.0,18.0,-3,AF,1,65934828
5/12/2025,B/2,175.0,27.0,-6,AF,0,65934828
5/15/2025,F,208.0,6.0,,AF,,65934828
5/15/2025,,201.0,12.0,1,AF,0,65934828
5/15/2025,,188.0,18.0,-1,AF,2,65934828
5/15/2025,B,213.0,10.0,-1,AF,0,65934828
5/15/2025,,170.0,34.0,-6,BF,3,65934828
5/15/2025,B,171.0,24.0,,BF,,65934828
5/15/2025,B/2,180.0,15.0,,BF,,65934828
5/16/2025,F,189.0,23.0,-3,AF,4,65934828
5/16/2025,,164.0,24.0,4,AF,0,65934828
5/16/2025,B/2,170.0,26.0,-3,AF,0,65934828
